X1,country,date,sm_plf,pred_arr,sd_arr,showup
13328,NL,2020-10-28,236.436078515898,355.462225665791,148.335958659086,0.878477998732104
13423,NL,2020-10-29,254.786795853744,296.903699475167,151.945156444959,0.899852457606563
13519,NL,2020-10-30,259.849682378866,366.82932778936,153.685053010386,0.91015650570531
13624,NL,2020-10-31,285.379404608033,375.892778963448,156.861718896105,0.928969416041774
13736,NL,2020-11-01,326.872049120235,386.735684014816,161.386511122428,0.955766225497762
2938,SE,2020-07-28,1336.56603043589,1748.73617654658,119.934477628666,0.710278214659697
3021,MT,2020-07-28,1774,2840.09502115901,168.855633121351,1
3062,SE,2020-07-29,1400.57044473595,1783.08359603517,114.536133851676,0.678308041813228
3145,MT,2020-07-29,2074,3014.61939964434,168.855633121351,1
3181,SE,2020-07-30,1383.31155249621,2225.58403579295,112.397119897743,0.665640333224578
3268,MT,2020-07-30,1935.47761764571,3501.87175367295,160.256439287236,0.949073692863213
3308,SE,2020-07-31,1295.23769712676,2154.5095673702,106.642328624746,0.631559200326508
3394,MT,2020-07-31,1688.10048628123,3307.66107860695,145.325341200607,0.860648463508274
3432,SE,2020-08-01,1115.32009444624,2002.47276807739,87.027763715658,0.515397455843917
3515,NL,2020-08-01,2167.939095194,2167.939095194,94.1171689131022,0.557382464376913
3528,MT,2020-08-01,758.599444565249,1673.32753403894,67.2206707011762,0.39809551780169
3572,SE,2020-08-02,1183.72925826248,2026.02840221456,88.5205284978646,0.524237935457256
3657,NL,2020-08-02,2272.3249848981,2284.76490293725,101.420721606691,0.60063570123126
3668,MT,2020-08-02,700.496645629822,1597.17782708655,62.5315030723089,0.370325241251322
3710,SE,2020-08-03,1191.65471859303,2038.19207301898,87.5239721487911,0.51833611074077
3786,NL,2020-08-03,2304.66964909294,2375.55035014741,104.762146284947,0.620424349181518
3796,MT,2020-08-03,698.253677086083,1645.53436200429,64.3230042136834,0.380934902938398
3839,SE,2020-08-04,1162.12661409968,2109.93117287038,87.1034480873058,0.515845675250334
3921,NL,2020-08-04,2337.47114755127,2465.37841470828,108.920058095822,0.645048412554557
3931,MT,2020-08-04,684.673759893823,1798.17967608216,66.2635837598566,0.39242743955267
3973,SE,2020-08-05,1112.86619424615,2167.23337737247,86.6760727900283,0.513314665242689
4049,NL,2020-08-05,2269.22970303686,2453.69624850079,110.265386533543,0.653015741881109
4060,MT,2020-08-05,630.556679938344,1870.13232455242,66.9882556057164,0.396719104760777
4102,SE,2020-08-06,1114.5036580481799,2167.76339055179,88.5243965842691,0.524260843111167
4182,NL,2020-08-06,2246.58280912676,2529.82256868162,114.158339631249,0.676070661789576
4193,MT,2020-08-06,644.566032195554,1988.06761375209,72.3111463728435,0.428242428375938
4230,SE,2020-08-07,1129.50490599559,2199.93137099586,92.0606028209141,0.545203030062689
4312,NL,2020-08-07,2356.80432082208,2769.30317690098,124.964911185574,0.740069542694893
4322,MT,2020-08-07,651.909790467479,2141.91193551607,77.9199598393924,0.461459048768566
4365,SE,2020-08-08,1129.77342791082,2122.90307001651,93.6780254068693,0.554781760461295
4447,NL,2020-08-08,2436.8348153593,2953.97987532787,133.298454226097,0.789422607715435
4458,MT,2020-08-08,691.492089988634,2240.93529794384,84.4006962591963,0.499839387641516
4503,SE,2020-08-09,1104.39695614437,2128.57295967248,92.7054563404129,0.54902199368018
4582,NL,2020-08-09,2380.24309949596,3027.69511954419,133.647911682904,0.79149217122567594
4593,MT,2020-08-09,693.471369374823,2403.05318412561,89.3184951390661,0.528963668478126
4634,SE,2020-08-10,1124.3539377859,2149.15534550085,95.5546787547639,0.565895712144185
4706,NL,2020-08-10,2349.87368654791,3007.62484454219,135.469241753926,0.802278486359818
4718,MT,2020-08-10,706.325228460135,2462.05166567268,93.1357603177744,0.551570347971993
4756,SE,2020-08-11,1162.72482803272,2269.80903263669,98.3912126921284,0.58269428667161
4829,NL,2020-08-11,2339.02134320747,3100.10878599295,137.22631203363,0.812684240951619
4838,MT,2020-08-11,723.331774833765,2603.00558544232,97.6551129154105,0.578334942756865
4878,SE,2020-08-12,1992.14285714286,3931.9253848547,168.855633121351,1
4947,BG,2020-08-12,32.4364747402131,32.4364747402131,89.4217384242183,0.529575097799397
4955,NL,2020-08-12,2374.36367087348,3155.09275210981,140.211469141673,0.830362994410189
4966,MT,2020-08-12,776.826154404609,2798.40051543393,104.139764646762,0.616738468961355
5003,SE,2020-08-13,2087.71428571429,3931.9253848547,168.855633121351,1
5072,BG,2020-08-13,32.5912126004836,32.5912126004836,93.5920040450204,0.554272323137477
