"date","country","cases_metric"
2020-10-11,"AR",294.161
2020-10-12,"AR",302.557
2020-10-13,"AR",0
2020-10-14,"AR",292.591
2020-10-15,"AR",0
2020-10-16,"AR",0
2020-10-17,"AR",0
2020-10-18,"AR",301.03
2020-10-19,"AR",301.779
2020-10-20,"AR",0
2020-10-21,"AR",322.293
2020-10-22,"AR",0
2020-10-23,"AR",330.584
2020-10-24,"AR",0
2020-10-25,"AR",323.093
2020-10-26,"AR",318.958
2020-10-27,"AR",0
2020-10-28,"AR",308.531
2020-10-29,"AR",294.617
2020-10-30,"AR",284.951
2020-10-31,"AR",277.558
2020-11-01,"AR",270.531
2020-08-06,"AT",11.357
2020-08-07,"AT",11.754
2020-08-08,"AT",11.214
2020-08-09,"AT",11.214
2020-08-10,"AT",11.563
2020-08-11,"AT",11.436
2020-08-12,"AT",12.118
2020-08-13,"AT",13.847
2020-08-14,"AT",14.244
2020-08-15,"AT",16.48
2020-08-16,"AT",19.986
2020-08-17,"AT",21.207
2020-08-18,"AT",22.651
2020-08-19,"AT",25.125
2020-08-20,"AT",26.093
2020-08-21,"AT",29.138
2020-08-22,"AT",29.915
2020-08-23,"AT",29.868
2020-08-24,"AT",29.868
2020-08-25,"AT",31.105
2020-08-26,"AT",29.772
2020-08-27,"AT",30.915
2020-08-28,"AT",30.613
2020-08-29,"AT",28.995
2020-08-30,"AT",30.502
2020-08-31,"AT",30.344
2020-09-01,"AT",30.819
2020-09-02,"AT",30.708
2020-09-03,"AT",30.708
2020-09-04,"AT",31.898
2020-09-05,"AT",33.928
2020-09-06,"AT",33.341
2020-09-07,"AT",33.389
2020-09-08,"AT",33.674
2020-09-09,"AT",38.687
2020-09-10,"AT",41.463
2020-09-11,"AT",45.602
2020-09-12,"AT",49.14
2020-09-13,"AT",57.245
2020-09-14,"AT",61.67
2020-09-15,"AT",63.13
2020-09-16,"AT",67
2020-09-17,"AT",71.219
2020-09-18,"AT",73.059
2020-09-19,"AT",76.676
2020-09-20,"AT",75.787
2020-09-21,"AT",78.294
2020-09-22,"AT",81.165
2020-09-23,"AT",79.277
2020-09-24,"AT",77.897
2020-09-25,"AT",78.722
2020-09-26,"AT",76.755
2020-09-27,"AT",75.185
2020-09-28,"AT",75.835
2020-09-29,"AT",75.724
2020-09-30,"AT",75.153
2020-10-01,"AT",76.596
2020-10-02,"AT",77.247
2020-10-03,"AT",77.31
2020-10-04,"AT",82.767
2020-10-05,"AT",83.591
2020-10-06,"AT",86.669
2020-10-07,"AT",91.649
2020-10-08,"AT",95.726
2020-10-09,"AT",101.055
2020-10-10,"AT",108.082
2020-10-11,"AT",110.889
2020-10-12,"AT",113.776
2020-10-13,"AT",117.409
2020-10-14,"AT",119.074
2020-10-15,"AT",124.102
2020-10-16,"AT",129.543
2020-10-17,"AT",130.05
2020-10-18,"AT",138.172
2020-10-19,"AT",150.48
2020-10-20,"AT",152.733
2020-10-21,"AT",160.6
2020-10-22,"AT",170.307
2020-10-23,"AT",184.313
2020-10-24,"AT",206.647
2020-10-25,"AT",236.261
2020-10-26,"AT",253.867
2020-10-27,"AT",275.043
2020-10-28,"AT",295.837
2020-10-29,"AT",318.615
2020-10-30,"AT",350.624
2020-10-31,"AT",399.097
2020-11-01,"AT",426.617
2020-08-06,"AU",20.123
2020-08-07,"AU",18.874
2020-08-08,"AU",19.149
2020-08-09,"AU",17.866
2020-08-10,"AU",17.249
2020-08-11,"AU",16.712
2020-08-12,"AU",15.025
2020-08-13,"AU",13.826
2020-08-14,"AU",13.838
2020-08-15,"AU",13.092
2020-08-16,"AU",12.342
2020-08-17,"AU",12.106
2020-08-18,"AU",11.541
2020-08-19,"AU",10.431
2020-08-20,"AU",10.521
2020-08-21,"AU",9.328
2020-08-22,"AU",8.779
2020-08-23,"AU",8.538
2020-08-24,"AU",7.602
2020-08-25,"AU",7.171
2020-08-26,"AU",6.807
2020-08-27,"AU",6.084
2020-08-28,"AU",5.832
2020-08-29,"AU",5.294
2020-08-30,"AU",4.812
2020-08-31,"AU",4.655
2020-09-01,"AU",4.291
2020-09-02,"AU",4.028
2020-09-03,"AU",4.073
2020-09-04,"AU",3.854
2020-09-05,"AU",3.697
2020-09-06,"AU",3.406
