,Country,Lag,AUC
592,CY,12,0.6352357320099256
593,CY,13,0.6265508684863524
594,CY,14,0.6265508684863524
595,CY,15,0.5285359801488833
596,CY,16,0.5285359801488833
597,CY,17,0.576923076923077
598,CY,18,0.6153846153846154
599,CY,19,0.5384615384615385
600,SK,0,0.5138888888888888
601,SK,1,0.5138888888888888
602,SK,2,0.5138888888888888
603,SK,3,0.5138888888888888
604,SK,4,0.5138888888888888
605,SK,5,0.5138888888888888
606,SK,6,0.5138888888888888
607,SK,7,0.5138888888888888
608,SK,8,0.5138888888888888
609,SK,9,0.5138888888888888
610,SK,10,0.5138888888888888
611,SK,11,0.5138888888888888
612,SK,12,0.5138888888888888
613,SK,13,0.5
614,SK,14,0.5
615,SK,15,0.5
616,SK,16,0.5
617,SK,17,0.5
618,SK,18,0.5
619,SK,19,0.5
620,IE,0,0.5185185185185186
621,IE,1,0.5185185185185186
622,IE,2,0.5
623,IE,3,0.5
624,IE,4,0.5
625,IE,5,0.5
626,IE,6,0.5
627,IE,7,0.5
628,IE,8,0.5
629,IE,9,0.5
630,IE,10,0.5
631,IE,11,0.5
632,IE,12,0.5
633,IE,13,0.5
634,IE,14,0.5
635,IE,15,0.5
636,IE,16,0.5185185185185186
637,IE,17,0.5925925925925927
638,IE,18,0.6851851851851851
639,IE,19,0.6851851851851851
640,RS,0,0.565625
641,RS,1,0.553125
642,RS,2,0.546875
643,RS,3,0.515625
644,RS,4,0.675
645,RS,5,0.825
646,RS,6,0.8625
647,RS,7,0.775
648,RS,8,0.7875
649,RS,9,0.65625
650,RS,10,0.58125
651,RS,11,0.5625
652,RS,12,0.515625
653,RS,13,0.65625
654,RS,14,0.596875
655,RS,15,0.79375
656,RS,16,0.91875
657,RS,17,0.875
658,RS,18,0.85625
659,RS,19,0.853125
660,DE,0,0.5
661,DE,1,0.5
662,DE,2,0.5
663,DE,3,0.5
664,DE,4,0.5
665,DE,5,0.5
666,DE,6,0.5
667,DE,7,0.5
668,DE,8,0.5
669,DE,9,0.5
670,DE,10,0.5
671,DE,11,0.5
672,DE,12,0.5
673,DE,13,0.5
674,DE,14,0.5
675,DE,15,0.5
676,DE,16,0.5
677,DE,17,0.5
678,DE,18,0.5
679,DE,19,0.5
680,CA,0,0.5
681,CA,1,0.5
682,CA,2,0.5
683,CA,3,0.5
684,CA,4,0.5
685,CA,5,0.5
686,CA,6,0.5
687,CA,7,0.5
688,CA,8,0.5
689,CA,9,0.5
690,CA,10,0.5
691,CA,11,0.5
692,CA,12,0.5
693,CA,13,0.5
694,CA,14,0.5
695,CA,15,0.5
696,CA,16,0.5
697,CA,17,0.5
698,CA,18,0.5
699,CA,19,0.5
700,FI,0,0.5
701,FI,1,0.5
702,FI,2,0.5
703,FI,3,0.5
704,FI,4,0.5
705,FI,5,0.5
706,FI,6,0.5
707,FI,7,0.5
708,FI,8,0.5
709,FI,9,0.5
710,FI,10,0.5
711,FI,11,0.5
712,FI,12,0.5
713,FI,13,0.5
714,FI,14,0.5
715,FI,15,0.5
716,FI,16,0.5
717,FI,17,0.5
718,FI,18,0.5
719,FI,19,0.5
720,TR,0,0.5597701149425287
721,TR,1,0.5632183908045977
722,TR,2,0.5114942528735632
723,TR,3,0.6344827586206896
724,TR,4,0.7816091954022989
725,TR,5,0.7494252873563219
726,TR,6,0.6643678160919539
727,TR,7,0.5563218390804598
728,TR,8,0.5770114942528737
729,TR,9,0.8574712643678162
730,TR,10,0.8459770114942529
731,TR,11,0.8321839080459769
732,TR,12,0.8919540229885059
733,TR,13,0.8229885057471265
734,TR,14,0.6896551724137931
735,TR,15,0.6896551724137931
736,TR,16,0.6896551724137931
737,TR,17,0.6896551724137931
738,TR,18,0.6896551724137931
739,TR,19,0.6896551724137931
740,BA,0,0.813034188034188
741,BA,1,0.8162393162393162
742,BA,2,0.8376068376068376
743,BA,3,0.8162393162393162
744,BA,4,0.8707264957264957
745,BA,5,0.8653846153846153
746,BA,6,0.8376068376068375
747,BA,7,0.8279914529914529
748,BA,8,0.8023504273504273
749,BA,9,0.8643162393162392
750,BA,10,0.8141025641025641
751,BA,11,0.8344017094017093
752,BA,12,0.8247863247863247
753,BA,13,0.670940170940171
754,BA,14,0.6666666666666666
755,BA,15,0.6923076923076923
756,BA,16,0.6773504273504274
757,BA,17,0.5555555555555556
758,BA,18,0.5384615384615384
759,BA,19,0.5384615384615384
760,DE,0,0.5
761,DE,1,0.5
762,DE,2,0.5
763,DE,3,0.5
764,DE,4,0.5
765,DE,5,0.5
766,DE,6,0.5
767,DE,7,0.5
768,DE,8,0.5
769,DE,9,0.5
770,DE,10,0.5
771,DE,11,0.5
772,DE,12,0.5
773,DE,13,0.5
774,DE,14,0.5
775,DE,15,0.5
776,DE,16,0.5
777,DE,17,0.5
778,DE,18,0.5
779,DE,19,0.5
780,DE,0,0.5
781,DE,1,0.5
782,DE,2,0.5
783,DE,3,0.5
784,DE,4,0.5
785,DE,5,0.5
786,DE,6,0.5
787,DE,7,0.5
788,DE,8,0.5
789,DE,9,0.5
790,DE,10,0.5
791,DE,11,0.5
792,DE,12,0.5
793,DE,13,0.5
794,DE,14,0.5
795,DE,15,0.5
796,DE,16,0.5
797,DE,17,0.5
798,DE,18,0.5
799,DE,19,0.5
